Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Sports,Communication,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Science
Reading,Leadership,Business,ICBT Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Music,Leadership,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Music,Problem Solving,Science,Informatics Institute of Technology,10 - 20 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Healthcare,Arts
Reading,Communication,Science,ICBT Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Information Systems,Arts
Travel,Leadership,Science,ICBT Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,AI & Data Science,Arts
Reading,Problem Solving,Business,Informatics Institute of Technology,10 - 20 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Analytics,Arts
Sports,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Healthcare,Science
Reading,Leadership,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Large Lectures,Reports,Network Security,Arts
Music,Communication,Science,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Reading,Communication,Technology,Esoft Metro Campus,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Information Systems,Arts
Travel,Communication,Technology,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Art,Programming,Science,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Reading,Leadership,Science,ICBT Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Travel,Leadership,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Management,Arts
Travel,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Software Engineering,Arts
Music,Leadership,Business,Informatics Institute of Technology,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Travel,Programming,Business,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Network Security,Arts
Travel,Programming,Engineering,ICBT Campus,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Art,Arts
Travel,Programming,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Travel,Communication,Technology,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Software Engineering,Arts
Sports,Leadership,Arts,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Analytics,Science
Sports,Programming,Business,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Network Security,Science
Music,Leadership,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Software Engineering,Arts
Reading,Communication,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Exams,Healthcare,Arts
Travel,Programming,Technology,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Reading,Problem Solving,Business,ICBT Campus,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Management,Arts
Reading,Communication,Arts,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Music,Problem Solving,Business,Sri Lanka Institute of Information Technology,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Law,Arts
Travel,Leadership,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Exams,Cyber Security,Arts
Travel,Leadership,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Healthcare,Arts
Art,Communication,Science,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Computer Science,Arts
Reading,Leadership,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Software Engineering,Arts
Reading,Problem Solving,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Analytics,Arts
Sports,Programming,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Computer Science,Science
Art,Programming,Business,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Sports,Programming,Science,ICBT Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Exams,Software Engineering,Science
Sports,Communication,Business,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Cyber Security,Science
Sports,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Network Security,Science
Music,Problem Solving,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Music,Leadership,Engineering,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Sports,Leadership,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Business Analytics,Science
Art,Leadership,Arts,Esoft Metro Campus,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Reading,Programming,Science,ICBT Campus,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Art,Problem Solving,Engineering,ICBT Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Network Security,Arts
Travel,Problem Solving,Arts,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Music,Leadership,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Computer Science,Arts
Reading,Programming,Science,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Arts
Reading,Programming,Technology,Informatics Institute of Technology,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Travel,Problem Solving,Science,Asia Pacific Institute of Information Technology,Over 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Network Security,Arts
Travel,Programming,Business,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Sports,Programming,Engineering,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,Healthcare,Science
Music,Programming,Engineering,ICBT Campus,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Music,Communication,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Management,Arts
Art,Leadership,Technology,ICBT Campus,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Analytics,Arts
Sports,Problem Solving,Arts,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Analytics,Science
Sports,Problem Solving,Arts,Informatics Institute of Technology,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Information Systems,Science
Sports,Communication,Science,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Law,Science
Sports,Leadership,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Science
Music,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Information Systems,Arts
Music,Programming,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Arts
Sports,Problem Solving,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Science
Art,Programming,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Reading,Communication,Engineering,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,AI & Data Science,Arts
Reading,Programming,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,AI & Data Science,Arts
Art,Problem Solving,Technology,Informatics Institute of Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Sports,Problem Solving,Arts,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Cyber Security,Science
Music,Problem Solving,Business,ICBT Campus,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Reading,Communication,Arts,Informatics Institute of Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Law,Arts
Travel,Communication,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Travel,Leadership,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Art,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Law,Arts
Sports,Programming,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Science
Reading,Communication,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Sports,Problem Solving,Science,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Network Security,Science
Reading,Problem Solving,Arts,Esoft Metro Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Law,Arts
Art,Communication,Arts,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Art,Leadership,Engineering,ICBT Campus,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Law,Arts
Travel,Communication,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Exams,Law,Arts
Sports,Communication,Science,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Law,Science
Travel,Programming,Engineering,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Law,Arts
Sports,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Science
Travel,Leadership,Business,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Music,Problem Solving,Science,Informatics Institute of Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Analytics,Arts
Music,Communication,Technology,Esoft Metro Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Law,Arts
Music,Leadership,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Law,Arts
Music,Programming,Arts,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Reading,Communication,Science,ICBT Campus,20 - 30 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Music,Problem Solving,Technology,ICBT Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Analytics,Arts
Art,Programming,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Management,Arts
Art,Programming,Business,Informatics Institute of Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Management,Arts
Reading,Programming,Business,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Music,Leadership,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Music,Problem Solving,Science,Asia Pacific Institute of Information Technology,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Art,Arts
Music,Communication,Business,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Travel,Leadership,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Software Engineering,Arts
Sports,Leadership,Arts,Sri Lanka Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Computer Science,Science
Travel,Leadership,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Arts
Sports,Programming,Business,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Art,Science
Music,Problem Solving,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Music,Leadership,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Travel,Communication,Science,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,AI & Data Science,Arts
Travel,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Sports,Communication,Technology,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Business Analytics,Science
Art,Problem Solving,Business,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Network Security,Arts
Sports,Communication,Business,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Art,Science
Travel,Programming,Business,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Art,Arts
Travel,Leadership,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Business Information Systems,Arts
Reading,Communication,Science,Esoft Metro Campus,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Travel,Problem Solving,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Law,Arts
Reading,Leadership,Business,ICBT Campus,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Art,Leadership,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Arts
Sports,Problem Solving,Science,Esoft Metro Campus,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Art,Science
Sports,Communication,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Science
Reading,Programming,Arts,Esoft Metro Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Sports,Programming,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Management,Science
Travel,Communication,Arts,Informatics Institute of Technology,20 - 30 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Music,Leadership,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Exams,Computer Science,Arts
Reading,Leadership,Business,Esoft Metro Campus,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,AI & Data Science,Arts
Sports,Leadership,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Cyber Security,Science
Reading,Leadership,Engineering,Esoft Metro Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Management,Arts
Reading,Communication,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,AI & Data Science,Arts
Music,Leadership,Technology,Esoft Metro Campus,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Travel,Problem Solving,Business,ICBT Campus,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Cyber Security,Arts
Reading,Leadership,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Sports,Programming,Business,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Law,Science
Art,Leadership,Engineering,ICBT Campus,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Reading,Communication,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Reading,Programming,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Exams,Computer Science,Arts
Music,Communication,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Travel,Communication,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Network Security,Arts
Art,Programming,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Sports,Communication,Science,Informatics Institute of Technology,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Healthcare,Science
Art,Communication,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Sports,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Law,Science
Travel,Problem Solving,Science,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,Business Analytics,Arts
Sports,Communication,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Science
Music,Communication,Engineering,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Music,Communication,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Arts
Music,Leadership,Engineering,Esoft Metro Campus,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Network Security,Arts
Music,Problem Solving,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Exams,Art,Arts
Art,Programming,Technology,Esoft Metro Campus,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Software Engineering,Arts
Travel,Leadership,Technology,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Healthcare,Arts
Sports,Leadership,Business,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Science
Sports,Problem Solving,Business,ICBT Campus,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Software Engineering,Science
Music,Problem Solving,Arts,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Music,Leadership,Technology,Informatics Institute of Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Law,Arts
Reading,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Travel,Leadership,Arts,ICBT Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Art,Arts
Art,Problem Solving,Science,Esoft Metro Campus,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Sports,Programming,Arts,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Science
Reading,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Management,Arts
Reading,Programming,Technology,Informatics Institute of Technology,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Law,Arts
Sports,Communication,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Computer Science,Science
Art,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Law,Arts
Reading,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Reading,Leadership,Arts,Esoft Metro Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Art,Arts
Travel,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Exams,AI & Data Science,Arts
Art,Problem Solving,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Art,Arts
Reading,Communication,Science,Esoft Metro Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Art,Problem Solving,Science,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Art,Arts
Sports,Communication,Business,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Exams,Law,Science
Music,Communication,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Business Information Systems,Arts
Reading,Communication,Science,Informatics Institute of Technology,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Art,Arts
Travel,Communication,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Management,Arts
Sports,Programming,Technology,Esoft Metro Campus,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Management,Science
